"Zeitstempel","Bitte geben Sie ihr Geschlecht an.","Bitte nennen Sie ihr Alter (in Jahren).","Bitte geben Sie Ihre Größe an (in cm). ","Wie schätzen Sie Ihre handwerklichen Fähigkeiten ein?
Meine handwerklichen Fähigkeiten sind ... ","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an.  [Ich beschäftige mich gern genauer mit technischen Systemen.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an.  [Ich probiere gern die Funktionen neuer technischer Systeme aus.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an.  [In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an.  [Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an.  [Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an.  [Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an.  [Ich versuche zu verstehen, wie ein technisches System genau funktioniert.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an.  [Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an.  [Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.]","Auf einer Skala von 1-10 wie sehr fühlten Sie sich in der Anwendung präsent, als wären sie wirklich dort? ","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Allgemeines Unwohlsein]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Müdigkeit]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Kopfschmerzen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Überanstrengung der Augen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Probleme scharf zu sehen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Erhöhter Speichelfluss]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Schwitzen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Übelkeit]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Konzentrationsschwierigkeiten]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Kopfdruck]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Verschwommenes Sehen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Schwindel bei offenen Augen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Schwindel bei geschlossenen Augen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Gleichgewichtsstörung]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Magen macht sich bemerkbar]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt.  [Aufstoßen]","MSSQ-Wert","Tischhöhe","VP Kürzel"
"2023/10/20 4:28:21 PM MEZ","weiblich","21","165","2","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","7","mäßig","gar nicht","mäßig","leicht","leicht","gar nicht","gar nicht","leicht","leicht","leicht","leicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","15","78","13"
"2023/10/23 4:30:06 PM MEZ","männlich","31","184","5","stimmt völlig","stimmt völlig","stimmt weitgehend nicht","stimmt weitgehend","stimmt völlig","stimmt weitgehend nicht","stimmt völlig","stimmt eher nicht","stimmt völlig","10","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","8","75","VP14"
"2023/10/24 8:00:22 AM MEZ","weiblich","24","176","4","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","8","gar nicht","leicht","gar nicht","gar nicht","leicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","leicht","gar nicht","leicht","10,125","87","VP15"
"2023/10/24 9:39:29 AM MEZ","männlich","60","166","6","stimmt weitgehend","stimmt völlig","stimmt gar nicht","stimmt weitgehend","stimmt eher","stimmt gar nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","9","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","4","74","16"
"2023/10/25 11:12:03 AM MEZ","männlich","21","171","5","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher","stimmt weitgehend","6","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","3,25","79,5","17"
"2023/10/25 5:06:41 PM MEZ","weiblich","26","175","2","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher nicht","4","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","8","82","18"
"2023/10/26 8:24:00 AM MEZ","weiblich","21","164","4","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher nicht","7","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","13,34","81,4cm","19"
"2023/10/26 1:08:10 PM MEZ","weiblich","19","162","4","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","stimmt eher","9","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","mäßig","gar nicht","gar nicht","leicht","leicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","3","79","20"
"2023/10/27 7:36:27 AM MEZ","weiblich","20","167","3","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend","9","gar nicht","gar nicht","leicht","gar nicht","stark","gar nicht","gar nicht","gar nicht","gar nicht","leicht","mäßig","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","17","85","21"
"2023/10/27 8:52:06 AM MEZ","weiblich","21","166","2","stimmt weitgehend nicht","stimmt eher","stimmt völlig","stimmt eher nicht","stimmt weitgehend nicht","stimmt völlig","stimmt weitgehend nicht","stimmt völlig","stimmt weitgehend","6","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","1","74","22"
"2023/10/27 10:04:12 AM MEZ","weiblich","19","158","2","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","stimmt eher","stimmt weitgehend","8","gar nicht","gar nicht","gar nicht","gar nicht","mäßig","gar nicht","leicht","gar nicht","gar nicht","gar nicht","mäßig","gar nicht","gar nicht","gar nicht","leicht","gar nicht","11","80,5","23"
"2023/10/30 4:11:39 PM MEZ","weiblich","20","168","4","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt weitgehend","9","gar nicht","leicht","leicht","leicht","mäßig","gar nicht","gar nicht","gar nicht","gar nicht","leicht","mäßig","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","16","80","24"
"2023/11/01 4:12:39 PM MEZ","weiblich","21","160","3","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt eher","stimmt eher","stimmt weitgehend","9","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","0","82,5","25"
"2023/11/01 5:14:39 PM MEZ","weiblich","20","162","2","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt gar nicht","9","gar nicht","gar nicht","leicht","leicht","leicht","gar nicht","leicht","gar nicht","leicht","leicht","leicht","gar nicht","gar nicht","gar nicht","leicht","leicht","18","84,5","26"
"2023/11/03 10:05:41 AM MEZ","männlich","21","165","2","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","8","gar nicht","leicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","12","73","27"
"2023/11/06 12:34:06 PM MEZ","männlich","41","168","5","stimmt völlig","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","7","gar nicht","gar nicht","gar nicht","gar nicht","mäßig","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","mäßig","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","2","74","28"
"2023/11/06 1:54:40 PM MEZ","männlich","54","180","5","stimmt völlig","stimmt weitgehend","stimmt gar nicht","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","8","gar nicht","gar nicht","gar nicht","gar nicht","mäßig","gar nicht","gar nicht","gar nicht","gar nicht","leicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","18","100","29"
"2023/11/06 2:51:00 PM MEZ","weiblich","21","178","4","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt eher","9","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","10,25","84","30"
"2023/11/08 1:46:08 PM MEZ","männlich","24","181","4","stimmt weitgehend","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt eher","8","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","leicht","gar nicht","leicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","0","84","31"
"2023/11/16 1:42:22 PM MEZ","weiblich","28","159","3","stimmt weitgehend","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","9","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","2","77","32"
"2023/11/16 3:09:18 PM MEZ","weiblich","24","160","2","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt gar nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt völlig","stimmt weitgehend nicht","5","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","2","81,5","33"
