"Zeitstempel","Bitte geben Sie ihr Geschlecht an.","Bitte nennen Sie ihr Alter (in Jahren).","Bitte geben Sie Ihre Größe an (in cm).","Mit welcher Hand hämmern Sie in Ihrem Alltag?","Wie schätzen Sie Ihre handwerklichen Fähigkeiten ein?
Meine handwerklichen Fähigkeiten sind ...","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich beschäftige mich gern genauer mit technischen Systemen.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich probiere gern die Funktionen neuer technischer Systeme aus.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich versuche zu verstehen, wie ein technisches System genau funktioniert.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.]","Auf einer Skala von 1-10 wie sehr fühlten Sie sich in der Anwendung präsent, als wären sie wirklich dort?","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Allgemeines Unwohlsein]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Müdigkeit]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Kopfschmerzen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Überanstrengung der Augen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Probleme scharf zu sehen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Erhöhter Speichelfluss]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Schwitzen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Übelkeit]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Konzentrationsschwierigkeiten]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Kopfdruck]","MSSQ-Wert","Tischhöhe","VP Kürzel"
"2023/11/06 10:04:11 AM MEZ","weiblich","21","170","rechte Hand","2","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt eher","stimmt eher","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher","9","leicht","leicht","gar nicht","leicht","mäßig","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","2","85","11"
"2023/11/07 4:14:27 PM MEZ","männlich","20","174","rechte Hand","4","stimmt völlig","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt völlig","stimmt gar nicht","stimmt völlig","8","leicht","gar nicht","gar nicht","leicht","mäßig","leicht","leicht","gar nicht","gar nicht","gar nicht","5,375","80","12"
"2023/11/07 5:40:07 PM MEZ","weiblich","27","167","rechte Hand","4","stimmt eher","stimmt weitgehend","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","9","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","1","80","13"
"2023/11/08 10:06:21 AM MEZ","männlich","26","185","rechte Hand","5","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt völlig","stimmt weitgehend","stimmt gar nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend","9","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","7,6","100,5","14"
"2023/11/08 3:27:58 PM MEZ","männlich","23","176","rechte Hand","5","stimmt weitgehend","stimmt völlig","stimmt weitgehend nicht","stimmt völlig","stimmt völlig","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt weitgehend","8","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","7,25","81,5","15"
"2023/11/08 4:17:05 PM MEZ","weiblich","21","171","rechte Hand","2","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","9","mäßig","gar nicht","leicht","leicht","mäßig","mäßig","stark","mäßig","mäßig","mäßig","12,875","80","16"
"2023/11/10 8:40:53 AM MEZ","weiblich","20","175","linke Hand","3","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher","4","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","9","92,5","17"
"2023/11/10 9:58:48 AM MEZ","männlich","19","168","rechte Hand","5","stimmt eher","stimmt weitgehend","stimmt eher","stimmt eher","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt eher","stimmt weitgehend","7","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","9","81,5","18"
"2023/11/10 1:43:14 PM MEZ","weiblich","21","179","rechte Hand","2","stimmt gar nicht","stimmt gar nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher nicht","10","leicht","gar nicht","gar nicht","leicht","mäßig","leicht","leicht","gar nicht","gar nicht","mäßig","8","92","19"
"2023/11/10 2:45:16 PM MEZ","männlich","19","178","rechte Hand","3","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","6","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","7,714","82","20"
"2023/11/10 4:23:06 PM MEZ","weiblich","20","163","linke Hand","2","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend","stimmt eher","7","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","1","84","21"
"2023/11/13 10:00:19 AM MEZ","weiblich","30","170","rechte Hand","2","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt eher","10","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","4","80","22"
"2023/11/13 12:28:07 PM MEZ","männlich","26","178","rechte Hand","5","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","9","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","1,29","81,5","23"
"2023/11/15 10:08:45 AM MEZ","weiblich","21","160","rechte Hand","3","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt eher","4","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","0","88,5","24"
"2023/11/15 2:48:44 PM MEZ","männlich","20","173","rechte Hand","2","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher nicht","3","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","7,714","82","25"
"2023/11/17 1:51:12 PM MEZ","männlich","23","191","rechte Hand","4","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher","4","leicht","gar nicht","leicht","leicht","leicht","gar nicht","gar nicht","leicht","gar nicht","leicht","9,375","90","26"
"2023/11/17 2:58:21 PM MEZ","männlich","20","180","rechte Hand","5","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt eher nicht","stimmt gar nicht","stimmt weitgehend","stimmt eher","stimmt weitgehend nicht","stimmt völlig","8","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","6,75","89,4","27"
"2023/11/17 5:44:16 PM MEZ","weiblich","20","160","rechte Hand","3","stimmt eher","stimmt weitgehend","stimmt völlig","stimmt eher nicht","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend","10","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","18,514","82,5","28"
"2023/11/20 10:23:19 AM MEZ","weiblich","23","170","rechte Hand","2","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","8","gar nicht","gar nicht","gar nicht","leicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","3","82","29"
"2023/11/20 2:32:33 PM MEZ","männlich","26","171","rechte Hand","3","stimmt eher","stimmt weitgehend","stimmt eher","stimmt eher","stimmt eher","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","9","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","7","82","30"
"2023/11/24 3:11:05 PM MEZ","männlich","24","187","rechte Hand","4","stimmt weitgehend","stimmt völlig","stimmt weitgehend nicht","stimmt völlig","stimmt völlig","stimmt weitgehend nicht","stimmt völlig","stimmt weitgehend nicht","stimmt völlig","8","leicht","gar nicht","leicht","leicht","leicht","leicht","gar nicht","gar nicht","gar nicht","leicht","6","91","31"
"2023/11/24 4:24:43 PM MEZ","männlich","23","184","rechte Hand","2","stimmt gar nicht","stimmt gar nicht","stimmt völlig","stimmt weitgehend nicht","stimmt gar nicht","stimmt völlig","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend nicht","9","gar nicht","gar nicht","gar nicht","leicht","mäßig","gar nicht","gar nicht","gar nicht","gar nicht","leicht","3","87,5","32"
"2023/11/24 5:25:03 PM MEZ","weiblich","20","170","rechte Hand","3","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt gar nicht","stimmt völlig","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher","8","mäßig","gar nicht","leicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","16,25","90","33"
